64661,2745,0
121331,2217,0
138287,7797,0
218673,5183,0
251918,7536,0
522308,11277,0
1.23422e+06,3591,0
1.55687e+06,34289,0
442101,1.83713e+06,3991
521942,6.34575e+06,46479
7.32939e+06,42136,0
364059,8.68238e+06,663638
415456,9.53536e+06,251514
448110,1.05701e+07,681207
369501,1.24207e+07,519253
398479,1.26836e+07,478800
491366,1.22801e+07,211142
404760,1.27396e+07,731301
958145,1.26948e+07,190670
220182,1.64838e+07,209854
251254,1.75474e+07,357139
934273,1.67921e+07,805673
703287,1.79302e+07,99323
281112,2.03109e+07,122007
851623,1.93694e+07,650080
524418,2.01483e+07,313447
361601,2.06105e+07,204637
745594,2.09529e+07,271352
411776,2.12985e+07,314192
1.04683e+06,2.07638e+07,359753
1.18235e+06,2.08891e+07,338611
535432,2.26713e+07,229512
937510,2.23376e+07,693236
761258,2.31752e+07,190467
1.01798e+06,2.34729e+07,3304
401106,2.38131e+07,348290
851605,2.41284e+07,8439
719300,2.42139e+07,38452
1.0336e+06,2.3916e+07,63553
634029,2.3638e+07,415961
1.30668e+06,2.46782e+07,49735
1.71908e+06,2.42048e+07,229201
729869,2.56879e+07,16707
893562,2.54095e+07,170607
750979,2.6249e+07,103096
869849,2.61321e+07,169130
970807,2.56198e+07,710748
796356,2.6218e+07,263037
1.14614e+06,2.58572e+07,312903
1.267e+06,2.67947e+07,141091
682932,2.68142e+07,677390
5.34232e+06,2.20454e+07,683281
473139,2.72226e+07,171622
613632,2.7023e+07,238786
1.62871e+06,2.64006e+07,484526
508517,2.77906e+07,124487
507711,2.80553e+07,48206
743898,2.72308e+07,442890
1.5793e+06,2.70858e+07,25616
396886,2.80472e+07,194157
1.75605e+06,2.65908e+07,208199
8.84048e+06,1.96886e+07,3648
1.38738e+06,2.75574e+07,78493
1.76899e+06,2.71344e+07,21283
960856,2.80534e+07,75978
2.36268e+06,2.67514e+07,62054
918305,2.77751e+07,396264
835975,2.81598e+07,3933
1.25135e+06,2.77424e+07,322353
426470,5785,261
141107,5152,270
148773,6031,254
548114,6286,699
181877,7855,962
136421,6455,251
155199,23208,7074
353995,2.90656e+07,404879
161201,66693,293
163378,106684,36024
1.15162e+06,2.86359e+07,48255
1.07673e+06,2.87436e+07,70155
5.38565e+06,2.44e+07,81196
4.27758e+06,2.55224e+07,63003
675871,2.91157e+07,161374
2.44534e+06,2.64806e+07,1.0812e+06
502858,2.93945e+07,79938
227740,5693,258
273830,5063,256
1.35148e+06,2.90591e+07,125090
608875,2.86952e+07,961481
133875,8093,0
596251,2.98973e+07,3183
157227,107587,275
305296,5296,374
261894,5993,249
193440,45023,283
143902,492962,246
2.24385e+06,2.81387e+07,71829
3.35054e+06,2.67748e+07,74364
261959,100386,334
208459,93589,275
192834,93267,401
873831,2.91204e+07,7283
1.46772e+06,2.86232e+07,5214
600099,5915,283
