43798,70148,760
53618,10487,0
72132,10996,16
76331,15730,0
80233,10931,15
98598,5448,13
102232,10970,14
86109,3267,0
108705,17178,0
109085,29851,7
158749,9043,0
68620,24862,19
85258,19167,3
51389,6533,3
68800,141845,60
12144,5808,0
152829,8623,0
78709,243438,45
40792,10440,18
97647,47545,0
207255,2274,0
233632,269300,42
3726,41538,0
49165,10531,17
75349,293562,31
101430,17734,8
450279,2252,0
95151,394371,41
137793,6691,0
29381,6770,0
24411,3966,17
24847,6905,59
32160,8964,18
82563,362103,28
108563,3103,0
28675,5418,20
63583,302180,23
34062,12575,0
135308,2707,0
44056,794704,1237
29845,3467,15
6190,15052,0
28241,7034,0
57535,2527,0
90841,29622,7
33947,106090,0
99912,30172,0
148451,3770,20
117906,70203,0
99228,134210,0
119270,40736,22
115442,129498,44
119043,72763,20
66637,207783,18
277179,3112,20
166185,17864,13
211890,9910,0
306184,3623,20
262619,40089,0
96190,104919,0
28341,425903,69
315526,40716,0
330398,66634,0
178166,145316,0
179417,65664,0
173690,3238,0
517920,2053,0
510071,18348,21
145566,603405,71
652670,2514,0
671886,5013,0
119562,488795,86
573124,21689,0
196321,532886,8
31246,1.20786e+06,136
281112,1.02117e+06,174
152982,1.26198e+06,48
175698,1.32101e+06,225
784804,770672,111
474960,1.10334e+06,73
642963,873686,64
650259,898526,67
313928,1.27516e+06,4961
66705,1.79046e+06,45
209011,1.55087e+06,225
514914,1.47958e+06,56
96024,2.21787e+06,2376
642525,1.32748e+06,8251
639931,1.47594e+06,753
543860,1.7325e+06,167
104245,2.14748e+06,670
196529,2.02054e+06,509
64800,2.27832e+06,423
229051,2.0641e+06,404
229764,2.08412e+06,662
1.10327e+06,1.34358e+06,56
126599,2.3725e+06,238
192449,2.29061e+06,118
655320,1.86254e+06,159
